model_display,target_status,repeat_count,mean_accuracy,minimum_accuracy,maximum_accuracy,mean_balanced_accuracy,minimum_balanced_accuracy,maximum_balanced_accuracy,mean_recall,mean_specificity
Logistic Regression,observed_labels,3,0.9866666666666667,0.975,0.995,0.9866666666666667,0.975,0.995,0.9733333333333333,1.0
Logistic Regression,shuffled_label_negative_control,3,0.49666666666666665,0.455,0.525,0.49666666666666665,0.455,0.525,0.5133333333333333,0.48
Random Forest,observed_labels,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,shuffled_label_negative_control,3,0.48833333333333334,0.45,0.515,0.4883333333333333,0.44999999999999996,0.515,0.49333333333333335,0.4833333333333334
