repeat,split_seed,model,model_display,target_status,accuracy,balanced_accuracy,recall,specificity
1,742,logistic_regression,Logistic Regression,shuffled_label_negative_control,0.51,0.51,0.49,0.53
1,742,random_forest,Random Forest,shuffled_label_negative_control,0.5,0.5,0.44,0.56
2,743,logistic_regression,Logistic Regression,shuffled_label_negative_control,0.455,0.455,0.51,0.4
2,743,random_forest,Random Forest,shuffled_label_negative_control,0.45,0.44999999999999996,0.47,0.43
3,744,logistic_regression,Logistic Regression,shuffled_label_negative_control,0.525,0.525,0.54,0.51
3,744,random_forest,Random Forest,shuffled_label_negative_control,0.515,0.515,0.57,0.46
