analysis_population,metric,metric_display,structured_estimate,deterministic_text_estimate,structured_minus_text_difference,ci_level,ci_lower,ci_upper,ci_excludes_zero,supported_direction,bootstrap_method,bootstrap_replicates_requested,bootstrap_replicates_finite,bootstrap_seed,complete_pair_count,benign_pair_count,dos_pair_count
complete_paired_responses,accuracy,Accuracy,0.5,0.42134831460674155,0.07865168539325845,0.95,0.011235955056179747,0.1460674157303371,True,structured_higher,class-stratified paired percentile bootstrap,10000,10000,742,178,92,86
complete_paired_responses,precision,Precision,0.4634146341463415,0.34545454545454546,0.11796008869179603,0.95,-0.010438463308028521,0.2508432231243447,False,interval_includes_zero,class-stratified paired percentile bootstrap,10000,10000,742,178,92,86
complete_paired_responses,recall,Recall (sensitivity),0.22093023255813954,0.22093023255813954,0.0,0.95,-0.09302325581395349,0.09302325581395349,False,interval_includes_zero,class-stratified paired percentile bootstrap,10000,10000,742,178,92,86
complete_paired_responses,f1,F1,0.2992125984251969,0.2695035460992908,0.029709052325906093,0.95,-0.07465864782753133,0.1317551006061895,False,interval_includes_zero,class-stratified paired percentile bootstrap,10000,10000,742,178,92,86
complete_paired_responses,specificity,Specificity,0.7608695652173914,0.6086956521739131,0.15217391304347827,0.95,0.0434782608695653,0.26086956521739124,True,structured_higher,class-stratified paired percentile bootstrap,10000,10000,742,178,92,86
complete_paired_responses,balanced_accuracy,Balanced accuracy,0.4908998988877654,0.4148129423660263,0.07608695652173914,0.95,0.008215369059656197,0.14357937310414565,True,structured_higher,class-stratified paired percentile bootstrap,10000,10000,742,178,92,86
