reference_model,reference_model_label,metric,metric_label,paired_sample_count,deterministic_text_mean,structured_mean,mean_paired_difference,ci_95_lower,ci_95_upper,paired_cohens_dz,structured_higher_count,equal_count,structured_lower_count,raw_randomisation_p_value,holm_adjusted_p_value,reject_holm_0_05,ci_excludes_zero,estimated_direction,overlap_field_count_difference
logistic_regression,Logistic Regression,top_five_overlap_fraction,Top-five overlap fraction,178,0.110112359551,0.0966292134831,-0.0134831460674,-0.0325842696629,0.00561797752809,-0.103434379649,29,108,41,0.206797932021,0.827191728083,False,False,deterministic text higher,-0.0674157303371
logistic_regression,Logistic Regression,attribution_mass_coverage,Attribution-mass coverage,178,0.100752144773,0.0923555144384,-0.00839663033478,-0.0216242140089,0.00474121770051,-0.0944573689673,80,7,91,0.208267917321,0.827191728083,False,False,deterministic text higher,
random_forest,Random Forest,top_five_overlap_fraction,Top-five overlap fraction,178,0.0516853932584,0.047191011236,-0.00449438202247,-0.0224719101124,0.014606741573,-0.0357566334235,27,117,34,0.721992780072,1,False,False,deterministic text higher,-0.0224719101124
random_forest,Random Forest,attribution_mass_coverage,Attribution-mass coverage,178,0.10702178808,0.107496513684,0.000474725603064,-0.00785365049714,0.00874110931007,0.00831911460588,89,7,82,0.912230877691,1,False,False,structured higher,
