reference_model,condition,metric,sample_count,observed_same_sample_mean,exact_class_stratified_mismatch_mean,observed_minus_mismatch_mean,mismatch_null_2_5_percentile,mismatch_null_97_5_percentile,mismatch_null_standard_deviation,one_sided_raw_p_value,holm_adjusted_p_value,above_mismatch_after_holm
logistic_regression,deterministic_text,top_five_overlap_fraction,178,0.110112359551,0.0835421947517,0.0265701647988,0.0752808988764,0.0921348314607,0.00451577359977,1.9999600008e-05,0.000159996800064,True
logistic_regression,deterministic_text,attribution_mass_coverage,178,0.100752144773,0.0845823757292,0.016169769044,0.0789101264871,0.0903432139523,0.00291155298478,1.9999600008e-05,0.000159996800064,True
logistic_regression,structured,top_five_overlap_fraction,178,0.0966292134831,0.0766146873615,0.0200145261216,0.0685393258427,0.085393258427,0.00433432763769,1.9999600008e-05,0.000159996800064,True
logistic_regression,structured,attribution_mass_coverage,178,0.0923555144384,0.0804640494032,0.0118914650352,0.0750975827859,0.0861255561976,0.00280562040893,7.9998400032e-05,0.000239995200096,True
random_forest,deterministic_text,top_five_overlap_fraction,178,0.0516853932584,0.0532932896581,-0.0016078963997,0.0483146067416,0.0595505617978,0.00287264614922,0.770644587108,1,False
random_forest,deterministic_text,attribution_mass_coverage,178,0.10702178808,0.100714775101,0.00630701297987,0.0982505593299,0.103180879275,0.00125616847811,1.9999600008e-05,0.000159996800064,True
random_forest,structured,top_five_overlap_fraction,178,0.047191011236,0.048604112345,-0.00141310110907,0.0438202247191,0.0539325842697,0.00269247886541,0.764624707506,1,False
random_forest,structured,attribution_mass_coverage,178,0.107496513684,0.0992592889161,0.00823722476748,0.0968995695696,0.10162334054,0.00120592991786,1.9999600008e-05,0.000159996800064,True
