reference_model,attribution_scale,sample_id,feature_name,reference_absolute_rank,reference_signed_attribution,reference_absolute_attribution,reference_is_top_five
logistic_regression,DoS log-odds,pilot_002,MIN_TTL,4,-0.748725999416,0.748725999416,True
logistic_regression,DoS log-odds,pilot_002,MAX_TTL,5,-0.74853491684,0.74853491684,True
logistic_regression,DoS log-odds,pilot_002,TCP_WIN_MAX_IN,6,0.597494701512,0.597494701512,False
logistic_regression,DoS log-odds,pilot_002,DST_TO_SRC_IAT_AVG,7,-0.373013147204,0.373013147204,False
logistic_regression,DoS log-odds,pilot_002,L7_PROTO,8,-0.207469759692,0.207469759692,False
logistic_regression,DoS log-odds,pilot_002,LONGEST_FLOW_PKT,9,-0.180329092839,0.180329092839,False
logistic_regression,DoS log-odds,pilot_002,MAX_IP_PKT_LEN,10,-0.180329092839,0.180329092839,False
logistic_regression,DoS log-odds,pilot_002,PROTOCOL,11,0.149038899244,0.149038899244,False
logistic_regression,DoS log-odds,pilot_002,CLIENT_TCP_FLAGS,12,0.0980437915564,0.0980437915564,False
logistic_regression,DoS log-odds,pilot_002,FTP_COMMAND_RET_CODE,13,0.0972892843372,0.0972892843372,False
logistic_regression,DoS log-odds,pilot_002,NUM_PKTS_UP_TO_128_BYTES,14,-0.0773565640816,0.0773565640816,False
logistic_regression,DoS log-odds,pilot_002,ICMP_TYPE,15,-0.0726968145368,0.0726968145368,False
logistic_regression,DoS log-odds,pilot_002,ICMP_IPV4_TYPE,16,-0.0726968145368,0.0726968145368,False
logistic_regression,DoS log-odds,pilot_002,DNS_QUERY_TYPE,17,0.0618723305133,0.0618723305133,False
logistic_regression,DoS log-odds,pilot_002,DST_TO_SRC_IAT_STDDEV,18,-0.0512371519557,0.0512371519557,False
logistic_regression,DoS log-odds,pilot_002,TCP_WIN_MAX_OUT,19,0.0391565244927,0.0391565244927,False
logistic_regression,DoS log-odds,pilot_002,IN_PKTS,20,-0.0348049647904,0.0348049647904,False
logistic_regression,DoS log-odds,pilot_002,DST_TO_SRC_IAT_MAX,21,0.0321742771193,0.0321742771193,False
logistic_regression,DoS log-odds,pilot_002,SRC_TO_DST_AVG_THROUGHPUT,22,0.028239821436,0.028239821436,False
logistic_regression,DoS log-odds,pilot_002,FLOW_DURATION_MILLISECONDS,23,-0.0237045220529,0.0237045220529,False
logistic_regression,DoS log-odds,pilot_002,DURATION_IN,24,-0.0222108847033,0.0222108847033,False
logistic_regression,DoS log-odds,pilot_002,DNS_TTL_ANSWER,25,0.01842960932,0.01842960932,False
logistic_regression,DoS log-odds,pilot_002,SRC_TO_DST_IAT_AVG,26,-0.0177843994008,0.0177843994008,False
logistic_regression,DoS log-odds,pilot_002,DURATION_OUT,27,-0.0150486653429,0.0150486653429,False
logistic_regression,DoS log-odds,pilot_002,NUM_PKTS_128_TO_256_BYTES,28,0.0140954230926,0.0140954230926,False
logistic_regression,DoS log-odds,pilot_002,NUM_PKTS_512_TO_1024_BYTES,29,-0.0127843719069,0.0127843719069,False
logistic_regression,DoS log-odds,pilot_002,NUM_PKTS_256_TO_512_BYTES,30,-0.0116898066693,0.0116898066693,False
logistic_regression,DoS log-odds,pilot_002,SRC_TO_DST_IAT_MAX,31,0.00649975032657,0.00649975032657,False
logistic_regression,DoS log-odds,pilot_002,RETRANSMITTED_IN_PKTS,32,-0.00528040783396,0.00528040783396,False
logistic_regression,DoS log-odds,pilot_002,SHORTEST_FLOW_PKT,33,-0.00498197199143,0.00498197199143,False
logistic_regression,DoS log-odds,pilot_002,NUM_PKTS_1024_TO_1514_BYTES,34,-0.00442907974151,0.00442907974151,False
logistic_regression,DoS log-odds,pilot_002,RETRANSMITTED_OUT_BYTES,35,-0.00416537646531,0.00416537646531,False
logistic_regression,DoS log-odds,pilot_002,OUT_BYTES,36,-0.00411045213046,0.00411045213046,False
logistic_regression,DoS log-odds,pilot_002,RETRANSMITTED_IN_BYTES,37,-0.00396887629021,0.00396887629021,False
logistic_regression,DoS log-odds,pilot_002,RETRANSMITTED_OUT_PKTS,38,-0.0032185787847,0.0032185787847,False
logistic_regression,DoS log-odds,pilot_002,SRC_TO_DST_IAT_STDDEV,39,-0.00222546069324,0.00222546069324,False
logistic_regression,DoS log-odds,pilot_002,OUT_PKTS,40,-0.00192854483431,0.00192854483431,False
logistic_regression,DoS log-odds,pilot_002,IN_BYTES,41,-0.00143135686104,0.00143135686104,False
logistic_regression,DoS log-odds,pilot_002,TCP_FLAGS,42,-0.00033162181439,0.00033162181439,False
logistic_regression,DoS log-odds,pilot_002,L4_SRC_PORT,43,0,0,False
logistic_regression,DoS log-odds,pilot_002,L4_DST_PORT,44,0,0,False
logistic_regression,DoS log-odds,pilot_002,SRC_TO_DST_IAT_MIN,45,0,0,False
logistic_regression,DoS log-odds,pilot_002,DST_TO_SRC_IAT_MIN,46,0,0,False
logistic_regression,DoS log-odds,pilot_003,SRC_TO_DST_IAT_AVG,1,9.99028383954,9.99028383954,True
logistic_regression,DoS log-odds,pilot_003,MIN_IP_PKT_LEN,2,4.7871165444,4.7871165444,True
logistic_regression,DoS log-odds,pilot_003,SRC_TO_DST_IAT_STDDEV,3,2.68434152269,2.68434152269,True
logistic_regression,DoS log-odds,pilot_003,MAX_TTL,4,1.25651439134,1.25651439134,True
logistic_regression,DoS log-odds,pilot_003,MIN_TTL,5,1.25445948306,1.25445948306,True
logistic_regression,DoS log-odds,pilot_003,FLOW_DURATION_MILLISECONDS,6,0.510687243088,0.510687243088,False
logistic_regression,DoS log-odds,pilot_003,DURATION_IN,7,0.489223828606,0.489223828606,False
logistic_regression,DoS log-odds,pilot_003,TCP_WIN_MAX_OUT,8,-0.349882550911,0.349882550911,False
logistic_regression,DoS log-odds,pilot_003,DST_TO_SRC_AVG_THROUGHPUT,9,0.294115435879,0.294115435879,False
logistic_regression,DoS log-odds,pilot_003,DST_TO_SRC_IAT_AVG,10,-0.210795497622,0.210795497622,False
logistic_regression,DoS log-odds,pilot_003,PROTOCOL,11,0.196542616991,0.196542616991,False
logistic_regression,DoS log-odds,pilot_003,L7_PROTO,12,0.162457481187,0.162457481187,False
logistic_regression,DoS log-odds,pilot_003,LONGEST_FLOW_PKT,13,0.148470060422,0.148470060422,False
logistic_regression,DoS log-odds,pilot_003,MAX_IP_PKT_LEN,14,0.148470060422,0.148470060422,False
logistic_regression,DoS log-odds,pilot_003,FTP_COMMAND_RET_CODE,15,0.118746371637,0.118746371637,False
logistic_regression,DoS log-odds,pilot_003,TCP_WIN_MAX_IN,16,0.118347320261,0.118347320261,False
logistic_regression,DoS log-odds,pilot_003,DST_TO_SRC_IAT_STDDEV,17,-0.115901042473,0.115901042473,False
logistic_regression,DoS log-odds,pilot_003,SERVER_TCP_FLAGS,18,-0.112256860622,0.112256860622,False
logistic_regression,DoS log-odds,pilot_003,ICMP_TYPE,19,-0.112256860622,0.112256860622,False
logistic_regression,DoS log-odds,pilot_003,ICMP_IPV4_TYPE,20,-0.112256860622,0.112256860622,False
logistic_regression,DoS log-odds,pilot_003,SRC_TO_DST_AVG_THROUGHPUT,21,0.111592630335,0.111592630335,False
logistic_regression,DoS log-odds,pilot_003,NUM_PKTS_UP_TO_128_BYTES,22,0.100857464983,0.100857464983,False
logistic_regression,DoS log-odds,pilot_003,DNS_QUERY_TYPE,23,0.0975268683606,0.0975268683606,False
logistic_regression,DoS log-odds,pilot_003,SRC_TO_DST_IAT_MAX,24,-0.078065551305,0.078065551305,False
logistic_regression,DoS log-odds,pilot_003,IN_PKTS,25,0.0556113072027,0.0556113072027,False
logistic_regression,DoS log-odds,pilot_003,RETRANSMITTED_IN_PKTS,26,0.0342072370588,0.0342072370588,False
logistic_regression,DoS log-odds,pilot_003,SHORTEST_FLOW_PKT,27,-0.0310929595553,0.0310929595553,False
logistic_regression,DoS log-odds,pilot_003,DURATION_OUT,28,-0.0196811030462,0.0196811030462,False
logistic_regression,DoS log-odds,pilot_003,DNS_TTL_ANSWER,29,0.0163696742312,0.0163696742312,False
logistic_regression,DoS log-odds,pilot_003,NUM_PKTS_256_TO_512_BYTES,30,-0.0125051500725,0.0125051500725,False
