reference_model,attribution_scale,feature_name,sample_count,mean_absolute_attribution,median_absolute_attribution,mean_signed_attribution,top_five_frequency,global_mean_absolute_rank
random_forest,DoS probability,MIN_IP_PKT_LEN,200,0.0611400601669,0.0590976795188,-0.00322480309519,200,1
random_forest,DoS probability,MAX_TTL,200,0.0570020981716,0.0543239416776,-0.0018501597127,200,2
random_forest,DoS probability,MIN_TTL,200,0.0547356696035,0.0537506338709,-0.00246929683963,199,3
random_forest,DoS probability,SHORTEST_FLOW_PKT,200,0.0405213547141,0.0411494282215,-0.00243630697526,181,4
random_forest,DoS probability,SERVER_TCP_FLAGS,200,0.0320300661505,0.0388615535061,0.00239074416654,122,5
random_forest,DoS probability,DST_TO_SRC_AVG_THROUGHPUT,200,0.0287888400365,0.0279989542595,0.000400348961551,64,6
random_forest,DoS probability,TCP_WIN_MAX_OUT,200,0.0159097294066,0.0160840903673,0.00116652925604,2,7
random_forest,DoS probability,OUT_BYTES,200,0.0141588505114,0.0137537818381,-0.00167396869788,9,8
random_forest,DoS probability,SRC_TO_DST_IAT_AVG,200,0.0138991330174,0.0143326346333,0.00125959379927,2,9
random_forest,DoS probability,OUT_PKTS,200,0.0138196254481,0.0128643965415,-0.00187696265443,11,10
random_forest,DoS probability,RETRANSMITTED_OUT_PKTS,200,0.0125697543469,0.0128638078967,-0.00013964991999,0,11
random_forest,DoS probability,NUM_PKTS_UP_TO_128_BYTES,200,0.0124189983458,0.00885880081017,-0.000833732980258,2,12
random_forest,DoS probability,L7_PROTO,200,0.012230995951,0.0111477213688,0.000303659371176,7,13
random_forest,DoS probability,TCP_FLAGS,200,0.0112502164239,0.0109500471123,-0.000581782924233,0,14
random_forest,DoS probability,SRC_TO_DST_IAT_STDDEV,200,0.0107983006967,0.0106335057039,0.00155941038,0,15
random_forest,DoS probability,TCP_WIN_MAX_IN,200,0.0107539690528,0.0111481245874,0.000500016474698,1,16
random_forest,DoS probability,IN_PKTS,200,0.0104721663558,0.0101428223985,-0.000899730888409,0,17
random_forest,DoS probability,SRC_TO_DST_IAT_MAX,200,0.00887999216998,0.00931380559412,0.00120443424242,0,18
random_forest,DoS probability,RETRANSMITTED_OUT_BYTES,200,0.0086242907809,0.00914529764735,0.00014093317278,0,19
random_forest,DoS probability,SRC_TO_DST_AVG_THROUGHPUT,200,0.00861212110943,0.00851256821948,0.000116672022432,0,20
random_forest,DoS probability,FLOW_DURATION_MILLISECONDS,200,0.00813501986172,0.00820088771143,0.000366917070993,0,21
random_forest,DoS probability,DURATION_IN,200,0.00788033196487,0.00798033521132,0.000552578036628,0,22
random_forest,DoS probability,CLIENT_TCP_FLAGS,200,0.00737323290203,0.007237160695,0.000312399542219,0,23
random_forest,DoS probability,DST_TO_SRC_IAT_AVG,200,0.00683363431451,0.00691542107314,8.81933492052e-05,0,24
random_forest,DoS probability,RETRANSMITTED_IN_PKTS,200,0.00683227343011,0.00709949108986,0.000376925440499,0,25
random_forest,DoS probability,IN_BYTES,200,0.00554353354158,0.00578716433535,-0.000743192205594,0,26
random_forest,DoS probability,DST_TO_SRC_IAT_STDDEV,200,0.00541734532352,0.00532829267346,0.000635631336315,0,27
random_forest,DoS probability,L4_DST_PORT,200,0.00526038859624,0.00353654284912,-0.000591174001272,0,28
random_forest,DoS probability,DST_TO_SRC_IAT_MAX,200,0.00480710373838,0.00508859990656,0.0009281020288,0,29
random_forest,DoS probability,RETRANSMITTED_IN_BYTES,200,0.00446264107571,0.00442416977639,-8.67688737176e-05,0,30
random_forest,DoS probability,MAX_IP_PKT_LEN,200,0.00408901895287,0.00316872339003,-0.000713327335231,0,31
random_forest,DoS probability,LONGEST_FLOW_PKT,200,0.00395701180888,0.00329328137138,-0.00078131997735,0,32
random_forest,DoS probability,DURATION_OUT,200,0.00371869673902,0.00360398206298,0.000343831579615,0,33
random_forest,DoS probability,DNS_QUERY_TYPE,200,0.00272735198473,0.00139127189808,0.000866725372589,0,34
random_forest,DoS probability,ICMP_IPV4_TYPE,200,0.00266951523971,0.00235057660669,0.000348058850137,0,35
random_forest,DoS probability,ICMP_TYPE,200,0.00252233624993,0.0023455858271,0.000476602521826,0,36
random_forest,DoS probability,FTP_COMMAND_RET_CODE,200,0.00187944320362,0.00120255182559,0.000361728217169,0,37
random_forest,DoS probability,DNS_TTL_ANSWER,200,0.0013844068146,0.000717080849331,0.000422584915947,0,38
random_forest,DoS probability,NUM_PKTS_1024_TO_1514_BYTES,200,0.00130095486365,0.00104963436906,-0.000181501950631,0,39
random_forest,DoS probability,L4_SRC_PORT,200,0.00110946257027,0.00102122751451,0.000336514153341,0,40
random_forest,DoS probability,PROTOCOL,200,0.00108973416269,0.00085436397401,0.000260391140667,0,41
random_forest,DoS probability,NUM_PKTS_256_TO_512_BYTES,200,0.000982036133026,0.000828715818517,-0.000151206910539,0,42
random_forest,DoS probability,NUM_PKTS_128_TO_256_BYTES,200,0.000772970326243,0.000431973192839,-9.07218739602e-05,0,43
random_forest,DoS probability,NUM_PKTS_512_TO_1024_BYTES,200,0.000276115280113,0.000167045002684,-0.000106417586571,0,44
random_forest,DoS probability,SRC_TO_DST_IAT_MIN,200,0,0,0,0,45
random_forest,DoS probability,DST_TO_SRC_IAT_MIN,200,0,0,0,0,46
